"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"206","109.808923829","SamsungE_24:fa:c0","Broadcast","802.11","166","-68 dBm","Probe Request, SN=68, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"220","122.667944109","SamsungE_24:fa:c0","Broadcast","802.11","155","-76 dBm","Probe Request, SN=233, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"221","122.669003096","SamsungE_24:fa:c0","Broadcast","802.11","160","-77 dBm","Probe Request, SN=234, FN=0, Flags=........C, SSID=""pollo"""
"222","122.688413181","SamsungE_24:fa:c0","Broadcast","802.11","155","-81 dBm","Probe Request, SN=239, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"223","122.689487800","SamsungE_24:fa:c0","Broadcast","802.11","160","-81 dBm","Probe Request, SN=240, FN=0, Flags=........C, SSID=""pollo"""
"224","122.690655766","SamsungE_24:fa:c0","Broadcast","802.11","166","-81 dBm","Probe Request, SN=241, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"225","122.696870084","SamsungE_24:fa:c0","Broadcast","802.11","155","-80 dBm","Probe Request, SN=242, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"226","122.697946154","SamsungE_24:fa:c0","Broadcast","802.11","160","-80 dBm","Probe Request, SN=243, FN=0, Flags=........C, SSID=""pollo"""
"227","122.743843675","SamsungE_24:fa:c0","Broadcast","802.11","155","-80 dBm","Probe Request, SN=245, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"228","122.744928369","SamsungE_24:fa:c0","Broadcast","802.11","160","-79 dBm","Probe Request, SN=246, FN=0, Flags=........C, SSID=""pollo"""
"229","122.746115235","SamsungE_24:fa:c0","Broadcast","802.11","166","-79 dBm","Probe Request, SN=247, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"230","122.759993341","SamsungE_24:fa:c0","Broadcast","802.11","155","-77 dBm","Probe Request, SN=248, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"231","122.761057784","SamsungE_24:fa:c0","Broadcast","802.11","160","-76 dBm","Probe Request, SN=249, FN=0, Flags=........C, SSID=""pollo"""
"232","122.767131812","SamsungE_24:fa:c0","Broadcast","802.11","166","-78 dBm","Probe Request, SN=250, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"233","122.768469903","SamsungE_24:fa:c0","Broadcast","802.11","155","-78 dBm","Probe Request, SN=251, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"234","122.769540448","SamsungE_24:fa:c0","Broadcast","802.11","160","-79 dBm","Probe Request, SN=252, FN=0, Flags=........C, SSID=""pollo"""
"235","122.775518360","SamsungE_24:fa:c0","Broadcast","802.11","166","-77 dBm","Probe Request, SN=253, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"280","144.796885459","SamsungE_24:fa:c0","Broadcast","802.11","155","-75 dBm","Probe Request, SN=57, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"281","144.797820008","SamsungE_24:fa:c0","Broadcast","802.11","160","-71 dBm","Probe Request, SN=58, FN=0, Flags=........C, SSID=""pollo"""
"282","144.799007963","SamsungE_24:fa:c0","Broadcast","802.11","166","-74 dBm","Probe Request, SN=59, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"283","144.805348454","SamsungE_24:fa:c0","Broadcast","802.11","155","-74 dBm","Probe Request, SN=60, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"284","144.806378970","SamsungE_24:fa:c0","Broadcast","802.11","160","-74 dBm","Probe Request, SN=61, FN=0, Flags=........C, SSID=""pollo"""
"285","144.807555816","SamsungE_24:fa:c0","Broadcast","802.11","166","-74 dBm","Probe Request, SN=62, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"286","144.818502723","SamsungE_24:fa:c0","Broadcast","802.11","160","-75 dBm","Probe Request, SN=64, FN=0, Flags=........C, SSID=""pollo"""
"287","144.823185097","SamsungE_24:fa:c0","Broadcast","802.11","166","-76 dBm","Probe Request, SN=65, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
