"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"92","64.526370173","","SamsungE_24:fa:c0 (b0:4a:6a:24:fa:c0) (RA)","802.11","70","-69 dBm","Clear-to-send, Flags=........C"
"111","70.165598680","SamsungE_24:fa:c0","Broadcast","802.11","155","-77 dBm","Probe Request, SN=54, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"112","70.166665714","SamsungE_24:fa:c0","Broadcast","802.11","160","-76 dBm","Probe Request, SN=55, FN=0, Flags=........C, SSID=""pollo"""
"113","70.167850571","SamsungE_24:fa:c0","Broadcast","802.11","166","-77 dBm","Probe Request, SN=56, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"114","70.174123834","SamsungE_24:fa:c0","Broadcast","802.11","155","-76 dBm","Probe Request, SN=57, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"115","70.175106625","SamsungE_24:fa:c0","Broadcast","802.11","160","-76 dBm","Probe Request, SN=58, FN=0, Flags=........C, SSID=""pollo"""
"116","70.176228883","SamsungE_24:fa:c0","Broadcast","802.11","166","-76 dBm","Probe Request, SN=59, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"124","75.430639883","SamsungE_24:fa:c0","Broadcast","802.11","166","-74 dBm","Probe Request, SN=251, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"125","75.451442425","SamsungE_24:fa:c0","Broadcast","802.11","155","-74 dBm","Probe Request, SN=255, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"126","75.452415995","SamsungE_24:fa:c0","Broadcast","802.11","160","-74 dBm","Probe Request, SN=256, FN=0, Flags=........C, SSID=""pollo"""
"127","75.453580976","SamsungE_24:fa:c0","Broadcast","802.11","166","-73 dBm","Probe Request, SN=257, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"128","75.459948687","SamsungE_24:fa:c0","Broadcast","802.11","155","-74 dBm","Probe Request, SN=258, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"129","75.460984189","SamsungE_24:fa:c0","Broadcast","802.11","160","-73 dBm","Probe Request, SN=259, FN=0, Flags=........C, SSID=""pollo"""
"130","75.462038212","SamsungE_24:fa:c0","Broadcast","802.11","166","-74 dBm","Probe Request, SN=260, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"192","109.665199989","SamsungE_24:fa:c0","Broadcast","802.11","166","-70 dBm","Probe Request, SN=53, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"194","109.671562229","SamsungE_24:fa:c0","Broadcast","802.11","155","-70 dBm","Probe Request, SN=54, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"195","109.672687789","SamsungE_24:fa:c0","Broadcast","802.11","160","-69 dBm","Probe Request, SN=55, FN=0, Flags=........C, SSID=""pollo"""
"196","109.676439535","SamsungE_24:fa:c0","Broadcast","802.11","166","-69 dBm","Probe Request, SN=56, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"197","109.683645695","SamsungE_24:fa:c0","Broadcast","802.11","155","-68 dBm","Probe Request, SN=57, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"198","109.684681148","SamsungE_24:fa:c0","Broadcast","802.11","160","-68 dBm","Probe Request, SN=58, FN=0, Flags=........C, SSID=""pollo"""
"199","109.685826377","SamsungE_24:fa:c0","Broadcast","802.11","166","-68 dBm","Probe Request, SN=59, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"200","109.692116433","SamsungE_24:fa:c0","Broadcast","802.11","155","-67 dBm","Probe Request, SN=60, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"201","109.693039979","SamsungE_24:fa:c0","Broadcast","802.11","160","-68 dBm","Probe Request, SN=61, FN=0, Flags=........C, SSID=""pollo"""
"202","109.694167247","SamsungE_24:fa:c0","Broadcast","802.11","166","-68 dBm","Probe Request, SN=62, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"203","109.799507615","SamsungE_24:fa:c0","Broadcast","802.11","160","-67 dBm","Probe Request, SN=64, FN=0, Flags=........C, SSID=""pollo"""
"204","109.806832055","SamsungE_24:fa:c0","Broadcast","802.11","155","-68 dBm","Probe Request, SN=66, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"205","109.807805378","SamsungE_24:fa:c0","Broadcast","802.11","160","-68 dBm","Probe Request, SN=67, FN=0, Flags=........C, SSID=""pollo"""
