,Signal strength (dBm)
0,-68
1,-68
2,-67
3,-67
4,-67
5,-66
6,-67
7,-67
8,-69
9,-67
10,-68
11,-68
12,-68
13,-68
14,-64
15,-63
16,-65
17,-64
18,-65
19,-65
20,-65
21,-67
22,-67
23,-62
24,-62
25,-62
26,-62
27,-61
28,-61
29,-62
30,-61
31,-61
32,-62
33,-63
34,-62
35,-62
