,Signal strength (dBm)
0,-38
1,-37
2,-43
3,-36
4,-36
5,-37
6,-37
7,-36
8,-35
9,-36
10,-36
11,-37
12,-37
13,-36
14,-36
15,-37
16,-36
17,-36
18,-36
19,-36
20,-35
21,-35
22,-36
23,-35
24,-36
25,-39
26,-39
27,-38
28,-38
29,-37
30,-38
31,-39
32,-40
