,Signal strength (dBm)
0,-69
1,-77
2,-76
3,-77
4,-76
5,-76
6,-76
7,-74
8,-74
9,-74
10,-73
11,-74
12,-73
13,-74
14,-70
15,-70
16,-69
17,-69
18,-68
19,-68
20,-68
21,-67
22,-68
23,-68
24,-67
25,-68
26,-68
27,-68
28,-76
29,-77
30,-81
31,-81
32,-81
33,-80
34,-80
35,-80
36,-79
37,-79
38,-77
39,-76
40,-78
41,-78
42,-79
43,-77
44,-75
45,-71
46,-74
47,-74
48,-74
49,-74
50,-75
51,-76
