,Signal strength (dBm)
0,-66
1,-66
2,-66
3,-67
4,-66
5,-66
6,-65
7,-64
8,-64
9,-64
10,-56
11,-56
12,-56
13,-57
14,-57
15,-59
16,-59
17,-59
18,-56
19,-61
20,-61
21,-60
22,-61
23,-60
24,-60
25,-60
