,Signal strength (dBm)
0,-74
1,-73
2,-75
3,-75
4,-76
5,-75
6,-75
7,-76
8,-84
9,-84
10,-81
11,-77
12,-80
13,-81
14,-74
15,-77
16,-77
17,-76
18,-75
19,-77
20,-75
