,Signal strength (dBm)
0,-85
1,-84
2,-84
3,-78
4,-83
5,-83
6,-72
7,-72
8,-72
9,-72
10,-72
11,-71
12,-75
13,-76
14,-77
15,-75
16,-79
17,-78
18,-78
19,-77
20,-76
21,-77
22,-77
23,-84
24,-85
25,-84
26,-84
27,-86
28,-84
29,-84
