,Signal strength (dBm)
0,-72
1,-73
2,-72
3,-72
4,-71
5,-72
6,-71
7,-71
8,-70
9,-72
10,-72
11,-72
12,-78
13,-79
14,-76
15,-76
16,-75
17,-79
18,-75
19,-75
20,-78
21,-79
22,-79
23,-76
24,-77
25,-76
26,-81
27,-80
